rank_by_latest_stars,repository,url,primary_language,latest_license,first_seen_week,last_seen_week,weeks_observed,latest_stars,first_observed_stars,observed_star_change,max_forks_observed,seen_in_trending,seen_in_new,top_topics
465,helloianneo/ian-xiaohei-scenes,https://github.com/helloianneo/ian-xiaohei-scenes,,MIT,2026-W24,2026-W24,1,87,87,0,5,false,true,ai-agent|ai-illustration|chinese-content|codex-skill|illustration|image-generation|long-scroll|prompt-engineering
466,icebird1998/scientific-illustrator,https://github.com/icebird1998/scientific-illustrator,JavaScript,MIT,2026-W31,2026-W31,1,87,87,0,8,false,true,codex|drawio|editable-figures|mcp|powerpoint|scientific-illustration
467,marketcaper/mcp,https://github.com/marketcaper/mcp,,MIT,2026-W30,2026-W30,1,87,87,0,0,false,true,
468,Siva-Chidambaram12/kalshi-trading-bot,https://github.com/Siva-Chidambaram12/kalshi-trading-bot,TypeScript,,2026-W21,2026-W21,1,87,87,0,508,false,true,bot|kalshi|kalshi-bot|kalshi-trading|prediction-market|trading
469,TheStageAI/edge-lm,https://github.com/TheStageAI/edge-lm,Python,MIT,2026-W24,2026-W24,1,87,87,0,2,false,true,
470,bwjoke/fomo5000.com,https://github.com/bwjoke/fomo5000.com,JavaScript,MIT,2026-W23,2026-W23,1,86,86,0,17,false,true,
471,coji/natural-japanese,https://github.com/coji/natural-japanese,Python,MIT,2026-W29,2026-W29,1,86,86,0,0,false,true,agent-skills|claude|claude-code|japanese|lint|nlp|sudachipy|writing
472,NVlabs/SpatialClaw,https://github.com/NVlabs/SpatialClaw,Python,NOASSERTION,2026-W25,2026-W25,1,86,86,0,3,false,true,4d-understanding|agent|agentic-ai|mllm-reasoning|spatial-reasoning|spatial-understanding
473,OnlyTerp/prompt-cache-skills,https://github.com/OnlyTerp/prompt-cache-skills,Python,NOASSERTION,2026-W23,2026-W23,1,86,86,0,6,false,true,agents-md|ai-skills|aider|anthropic|claude-code|cline|llm-agents|openai
474,alpacahq/alpaca-skills,https://github.com/alpacahq/alpaca-skills,Python,Apache-2.0,2026-W26,2026-W26,1,85,85,0,3,false,true,agent-skills|ai-agents|alpaca|antigravity|broker-api|claude-code|codex|cursor
475,amirmushichge/cinematic-scroll-prompt-kit,https://github.com/amirmushichge/cinematic-scroll-prompt-kit,,MIT,2026-W30,2026-W30,1,85,85,0,8,false,true,claude-code|codex|creative-coding|ltx-studio|prompt-engineering|scroll-animation
476,binghe1980/AI-Canvas,https://github.com/binghe1980/AI-Canvas,TypeScript,MIT,2026-W26,2026-W26,1,85,85,0,8,false,true,
477,inni918/warashi,https://github.com/inni918/warashi,Python,NOASSERTION,2026-W26,2026-W26,1,85,85,0,12,false,true,
478,juew/Skill-Routing-Kit,https://github.com/juew/Skill-Routing-Kit,Python,MIT,2026-W24,2026-W24,1,85,85,0,1,false,true,
479,renee-jia/scholar-loop,https://github.com/renee-jia/scholar-loop,Python,MIT,2026-W25,2026-W25,1,85,85,0,15,false,true,ai-research|autonomous-agents|llm-tools|multi-agent
480,UIseries/ai-robot,https://github.com/UIseries/ai-robot,C,NOASSERTION,2026-W29,2026-W29,1,85,85,0,0,false,true,
481,weisparrow/dreamseed-pool,https://github.com/weisparrow/dreamseed-pool,,,2026-W23,2026-W23,1,85,85,0,2,false,true,
482,Forlives/cloudsight-ai,https://github.com/Forlives/cloudsight-ai,,MIT,2026-W24,2026-W24,1,84,84,0,20,false,true,
483,lingbol088-spec/ReiPenFlow,https://github.com/lingbol088-spec/ReiPenFlow,Python,MIT,2026-W28,2026-W28,1,84,84,0,32,false,true,
484,wwe-dog/ppt-image2-editable-rebuild,https://github.com/wwe-dog/ppt-image2-editable-rebuild,Python,Unlicense,2026-W23,2026-W23,1,84,84,0,7,false,true,
485,anvia-hq/lexa,https://github.com/anvia-hq/lexa,Rust,MIT,2026-W24,2026-W24,1,83,83,0,4,false,true,
486,sorryhumans/clawdmeter-plus,https://github.com/sorryhumans/clawdmeter-plus,C,NOASSERTION,2026-W29,2026-W30,2,83,83,0,5,false,true,amoled|arduino|bluetooth-le|claude-code|desk-accessory|esp32|esp32-s3|lvgl
487,leosssvip-dot/remotion-ad-video-skill,https://github.com/leosssvip-dot/remotion-ad-video-skill,JavaScript,MIT,2026-W22,2026-W22,1,82,82,0,8,false,true,
488,axisvoiceupgrade/Topaz-Photo-AI-2026,https://github.com/axisvoiceupgrade/Topaz-Photo-AI-2026,,,2026-W26,2026-W26,1,81,81,0,0,false,true,ai-photo|denoise|photo-enhancement|topaz-labs|topaz-photo-ai|upscale|windows|workflow
489,moduwusuowei/geshifang,https://github.com/moduwusuowei/geshifang,JavaScript,,2026-W26,2026-W26,1,81,81,0,24,false,true,
490,superxslam/SuperMap,https://github.com/superxslam/SuperMap,,,2026-W30,2026-W30,1,81,81,0,2,false,true,
491,akseolabs-seo/fable-soul,https://github.com/akseolabs-seo/fable-soul,Python,MIT,2026-W28,2026-W28,1,80,80,0,19,false,true,
492,amElnagdy/delegate-skills,https://github.com/amElnagdy/delegate-skills,JavaScript,MIT,2026-W25,2026-W25,1,80,80,0,15,false,true,agent-skills|automation|claude-code|coding-agent|developer-tools|openai-codex|skills-cli
493,intercom/2x-skills,https://github.com/intercom/2x-skills,,MIT,2026-W28,2026-W28,1,80,80,0,5,false,true,
494,modelscope/Awesome-Vibe-Research,https://github.com/modelscope/Awesome-Vibe-Research,,Apache-2.0,2026-W25,2026-W25,1,80,80,0,5,false,true,
495,ohmiler/gridgeist,https://github.com/ohmiler/gridgeist,HTML,MIT,2026-W29,2026-W29,1,80,80,0,2,false,true,agent-skills|ai-agents|codex|design-system|frontend|ui-design|web-design
496,calesthio/generative-media-skills,https://github.com/calesthio/generative-media-skills,Python,MIT,2026-W29,2026-W29,1,79,79,0,11,false,true,agent|agentic-ai|ai|ai-audio|ai-video|claude|codex|copilot
497,dikurdikur/palmier-pro-windows,https://github.com/dikurdikur/palmier-pro-windows,C#,MIT,2026-W26,2026-W26,1,79,79,0,1,false,true,ai-video|ai-video-editor|ai-video-tools|anthropic-claude-ai|claude-ai-skills|claude-code-|claude-code-for-design|claude-code-themes
498,Adtyahac/Acrobat-Editor,https://github.com/Adtyahac/Acrobat-Editor,C++,MIT,2026-W25,2026-W25,1,78,78,0,0,false,true,acrobat|acrobat-breaker|acrobat-full|acrobat-live|acrobat-pro|acrobat-pro-dc|acrobat-reader-pro|acrobat-sign
499,Dennis-bv/dex-trade-agent-kit,https://github.com/Dennis-bv/dex-trade-agent-kit,TypeScript,MIT,2026-W29,2026-W30,2,78,78,0,341,false,true,agent|dex|dex-kit|okx|okx-kit|trade|trade-kit
500,lucasfishh/vanta,https://github.com/lucasfishh/vanta,TypeScript,,2026-W26,2026-W26,1,78,78,0,0,false,true,
501,umacloud/umadev,https://github.com/umacloud/umadev,Rust,MIT,2026-W26,2026-W26,1,78,78,0,32,false,true,agents|ai|ai-agents|ai-coding|claude-code|codex-cli|coding|coding-agents
502,CaliCastle/skills,https://github.com/CaliCastle/skills,,MIT,2026-W31,2026-W31,1,77,77,0,2,false,true,agent-skills|design-tools|generative-art|image-generation|skills-sh
503,joeynyc/Grok-UI,https://github.com/joeynyc/Grok-UI,TypeScript,MIT,2026-W31,2026-W31,1,77,77,0,20,false,true,agent-client-protocol|ai-agents|dashboard|developer-tools|git|grok|grok-build|local-first
504,lidge-jun/opencodex,https://github.com/lidge-jun/opencodex,TypeScript,MIT,2026-W26,2026-W26,1,77,77,0,7,false,true,
505,PerfectXM/mcp-db-server,https://github.com/PerfectXM/mcp-db-server,Java,MIT,2026-W26,2026-W26,1,77,77,0,0,false,true,ai|java|mcp
506,ForgetMeAI/FreeDeepseekAPI,https://github.com/ForgetMeAI/FreeDeepseekAPI,JavaScript,MIT,2026-W24,2026-W24,1,76,76,0,25,false,true,ai-api|anthropic-api|api-proxy|deepseek|deepseek-api|deepseek-chat-api|free-api|openai-api-compatible
507,hajimi-kun/latex-to-word-workflow,https://github.com/hajimi-kun/latex-to-word-workflow,Python,MIT,2026-W29,2026-W29,1,76,76,0,7,false,true,
508,krakonjac300-pixel/podcast-shorts-factory,https://github.com/krakonjac300-pixel/podcast-shorts-factory,Python,MIT,2026-W31,2026-W31,1,76,76,0,29,false,true,ai-agents|content-automation|faceless-channel|ffmpeg|llm|podcast|python|video-automation
509,liyupi/zhuanglema,https://github.com/liyupi/zhuanglema,JavaScript,,2026-W25,2026-W25,1,76,76,0,13,false,true,ai|javascript|programming|python|software|vibe-coding
510,melojuve31-source/kahoottoolsai-desktop-app,https://github.com/melojuve31-source/kahoottoolsai-desktop-app,C++,Apache-2.0,2026-W24,2026-W24,1,76,76,0,0,false,true,kahoot|kahoot-answer-bot|kahoot-answers|kahoot-api|kahoot-bot|kahoot-client|kahoot-hack|kahoot-hacks
511,nalltama/RAIV,https://github.com/nalltama/RAIV,Python,MIT,2026-W23,2026-W23,1,76,76,0,6,false,true,image-viewer|real-cugan|real-esrgan
512,simonlin1212/Vibe-Research,https://github.com/simonlin1212/Vibe-Research,TypeScript,MIT,2026-W28,2026-W28,1,76,76,0,21,false,true,a-stock|ai-agent|dashboard|fastapi|fintech|hk-stocks|investment-research|llm
513,zhibeigg/ai-api-relay-guide,https://github.com/zhibeigg/ai-api-relay-guide,CSS,MIT,2026-W29,2026-W30,2,76,75,1,1,false,true,ai-api|api-relay|github-pages|pokeapi
514,bytedoger/awesome-OpenPrice,https://github.com/bytedoger/awesome-OpenPrice,TypeScript,NOASSERTION,2026-W30,2026-W30,1,75,75,0,1,false,true,ai|ai-subscription|chatgpt|claude|codex|cursor|gemini|grok
515,Gach0ng/AgentStalker,https://github.com/Gach0ng/AgentStalker,Python,,2026-W26,2026-W26,1,75,75,0,1,false,true,
516,itshamzabendelladj/AIGuardSIEM,https://github.com/itshamzabendelladj/AIGuardSIEM,C++,,2026-W31,2026-W31,1,75,75,0,7,false,true,anomaly-detection|cybersecurity|dpdk|endpoint-security|incident-response|intrusion-detection|kafka|kubernetes
517,lilliancrivaro27064501728/AI-Photo-Background-Remover,https://github.com/lilliancrivaro27064501728/AI-Photo-Background-Remover,Python,Apache-2.0,2026-W23,2026-W23,1,75,75,0,0,false,true,ai-background-removal|auto-background-remover|background-extraction|background-generation|background-removal|background-subtraction|backgroundremover|baseline-removal
518,RennAkira/spicy-monopoly,https://github.com/RennAkira/spicy-monopoly,Python,NOASSERTION,2026-W28,2026-W28,1,75,75,0,14,false,true,
519,ssreeni1/tracebase,https://github.com/ssreeni1/tracebase,JavaScript,MIT,2026-W23,2026-W23,1,75,75,0,9,false,true,
520,VisionForge-OU/foreman,https://github.com/VisionForge-OU/foreman,Python,NOASSERTION,2026-W26,2026-W26,1,75,75,0,18,false,true,agent|agent-loop|agent-skills|agentic-workflow|ai|automation|claude|claude-code
521,zyairpope7277763/RL-AI-Latest,https://github.com/zyairpope7277763/RL-AI-Latest,C#,Apache-2.0,2026-W23,2026-W23,1,75,75,0,0,false,true,bumper|e-sports|rlbot|rllogging|rocket-league|rocketleague|rocketleague-bot
522,abullaisi/upwork-skills,https://github.com/abullaisi/upwork-skills,,MIT,2026-W31,2026-W31,1,74,74,0,3,false,true,agent-skills|ai-agents|claude|claude-code|cursor|freelance|freelancing|proposal-writing
523,kenshicage26/GirlChat-AdultCompanion-2026,https://github.com/kenshicage26/GirlChat-AdultCompanion-2026,C#,Apache-2.0,2026-W25,2026-W25,1,74,74,0,0,false,true,ai-chatbot|ai-companion|ai-girfriend-call|ai-roleplay|ai-vtuber|character-ai|chatbots|desktop-waifu
524,myccarl/ai-shortVideo-pipeline,https://github.com/myccarl/ai-shortVideo-pipeline,Python,MIT,2026-W24,2026-W24,1,74,74,0,0,false,true,ai|ai-pipeline|circuit-breaker|clip-model|deepseek|docker-compose|failover|fastapi
525,cocofhu/approving,https://github.com/cocofhu/approving,Go,MIT,2026-W31,2026-W31,1,73,73,0,3,false,true,agent|ai|browser-automation|harness|harness-ai|harness-ci|harness-design|harness-engineering
526,Nanako0129/TokenBar,https://github.com/Nanako0129/TokenBar,Swift,MIT,2026-W25,2026-W25,1,73,73,0,6,false,true,ai-usage|claude-code|codex|liquid-glass|macos|menu-bar|rust|sparkle
527,stephenleo/OpenMicro,https://github.com/stephenleo/OpenMicro,TypeScript,MIT,2026-W30,2026-W30,1,73,73,0,7,false,true,agenticai|ai|claude|claude-code|codex|codex-cli|vibe-coding
528,yanliudesign/offer-toolkit-skill,https://github.com/yanliudesign/offer-toolkit-skill,HTML,MIT,2026-W28,2026-W28,1,73,73,0,7,false,true,
529,JYH1878/KimiCodeBar-Windows,https://github.com/JYH1878/KimiCodeBar-Windows,Rust,MIT,2026-W31,2026-W31,1,72,72,0,1,false,true,ai-agents|desktop-app|kimi|kimi-code|windows
530,Kirakun0328/text-to-vrma,https://github.com/Kirakun0328/text-to-vrma,JavaScript,MIT,2026-W30,2026-W30,1,72,72,0,6,false,true,openai|text-to-motion|threejs|vrm|vrma|vtuber
531,OttoRenner/Gentle-Coding,https://github.com/OttoRenner/Gentle-Coding,,,2026-W23,2026-W23,1,72,72,0,3,false,true,
532,Aimer-zero/redforge-ai,https://github.com/Aimer-zero/redforge-ai,Python,Apache-2.0,2026-W23,2026-W23,1,71,71,0,15,false,true,
533,darricke/claude-fable-5-desktop-free,https://github.com/darricke/claude-fable-5-desktop-free,C#,MIT,2026-W25,2026-W25,1,71,71,0,3,false,true,anthropic-claude-fable-5|claude-4-desktop|claude-alternative|claude-code-|claude-code-free-helper|claude-code-source-code|claude-code-tasks|claude-code-themes
534,databufflabs/databuff,https://github.com/databufflabs/databuff,Vue,AGPL-3.0,2026-W26,2026-W26,1,71,71,0,19,false,true,ai|ai-agent|apm|multi-agent|opentelemetry|root-cause-analysis|tracing
535,DexZane/awesome-web-prompts,https://github.com/DexZane/awesome-web-prompts,,MIT,2026-W28,2026-W28,1,71,71,0,3,false,true,
536,hang-jin/editaplot,https://github.com/hang-jin/editaplot,Python,Apache-2.0,2026-W31,2026-W31,1,71,71,0,2,false,true,codex-skill|editable-figures|research|scientific-visualization|windows|xps|xrd
537,luyi14-bits/tree-sop-agent,https://github.com/luyi14-bits/tree-sop-agent,Python,AGPL-3.0,2026-W30,2026-W30,1,71,71,0,7,false,true,
538,miIciaq/GirlChat-AdultCompanion-2026,https://github.com/miIciaq/GirlChat-AdultCompanion-2026,,MIT,2026-W26,2026-W26,1,71,71,0,0,false,true,ai-chatbot|ai-companion|ai-girfriend-call|ai-roleplay|ai-vtuber|character-ai|chatbots|desktop-waifu
539,w1163222589-coder/slide-image-to-editable-pptx,https://github.com/w1163222589-coder/slide-image-to-editable-pptx,,MIT,2026-W23,2026-W23,1,71,71,0,3,false,true,codex-skill|editable-pptx|powerpoint|pptx|slides
540,amnotyoung/slide-meme-inserter,https://github.com/amnotyoung/slide-meme-inserter,Python,MIT,2026-W31,2026-W31,1,70,70,0,2,false,true,
541,DasterProkio/awesome-ai-companion,https://github.com/DasterProkio/awesome-ai-companion,,CC0-1.0,2026-W28,2026-W28,1,70,70,0,2,false,true,ai-agents|ai-companion|awesome-list|chatbot|llm|memory|open-source|self-hosted
542,MegaTroll222/VOX-COLLAGE-BROLL,https://github.com/MegaTroll222/VOX-COLLAGE-BROLL,,NOASSERTION,2026-W30,2026-W30,1,70,70,0,7,false,true,
543,shanggqm/codexU,https://github.com/shanggqm/codexU,Swift,MIT,2026-W28,2026-W28,1,70,70,0,13,false,true,chatgpt|codex|codex-cli|dashboard|desktop-widget|developer-tools|local-first|macos
544,Sliverkiss/mimocode2api,https://github.com/Sliverkiss/mimocode2api,Go,MIT,2026-W25,2026-W25,1,70,70,0,11,false,true,
545,u-ichi/compact-plus,https://github.com/u-ichi/compact-plus,Shell,MIT,2026-W28,2026-W28,1,70,70,0,0,false,true,
546,agiwhitelist/tokdiet,https://github.com/agiwhitelist/tokdiet,TypeScript,MIT,2026-W26,2026-W26,1,69,69,0,2,false,true,ai-gateway|anthropic|ccusage|claude-code|cli|context-compression|context-engineering|cost-optimization
547,ali-vilab/DiffusionOPD,https://github.com/ali-vilab/DiffusionOPD,Python,Apache-2.0,2026-W23,2026-W23,1,69,69,0,0,false,true,
548,coasty-ai/open-cowork,https://github.com/coasty-ai/open-cowork,TypeScript,MIT,2026-W25,2026-W25,1,69,69,0,16,false,true,anthropic|anthropic-api|anthropic-claude|automation|browser-automation|byok|byok-ai-tools-code-assistant|claude-cowork
549,dodo-reach/hermes-link-curator,https://github.com/dodo-reach/hermes-link-curator,HTML,MIT,2026-W24,2026-W24,1,69,69,0,5,false,true,agent-skills|ai-agents|fastapi|hermes|hermes-agent|hermes-skill|nousresearch|productivity-tools
550,modem-dev/sideshow,https://github.com/modem-dev/sideshow,TypeScript,MIT,2026-W25,2026-W25,1,69,69,0,1,false,true,
551,xiaoguzuiniu/gpt-free-register,https://github.com/xiaoguzuiniu/gpt-free-register,Python,,2026-W26,2026-W26,1,69,69,0,34,false,true,
552,ComPDFKit/docslight,https://github.com/ComPDFKit/docslight,Vue,LGPL-3.0,2026-W28,2026-W28,1,68,68,0,14,false,true,document-data|document-information-extraction|document-parser|document-parsing|docx-to-json|extraction|image-parser|image-to-json
553,dwertipy412/Claude-AI-2026,https://github.com/dwertipy412/Claude-AI-2026,C#,Apache-2.0,2026-W26,2026-W26,1,68,68,0,0,false,true,claude-api-proxy|claude-code-hooks|claude-code-marketplace|claude-code-skill|claude-code-subagents|claude-design-free|claude-free|claude-subscription
554,elliotgao2/handsets,https://github.com/elliotgao2/handsets,Rust,MIT,2026-W22,2026-W22,1,68,68,0,4,false,true,ai-agents|android|cli|rust
555,HuolalaTech/huolala-figma-mcp,https://github.com/HuolalaTech/huolala-figma-mcp,Python,Apache-2.0,2026-W25,2026-W25,1,68,68,0,11,false,true,
556,lifuyue/issue-finder,https://github.com/lifuyue/issue-finder,Rust,MIT,2026-W24,2026-W24,1,68,68,0,3,false,true,
557,minkyr/Claude-Science-AI-App,https://github.com/minkyr/Claude-Science-AI-App,C#,MIT,2026-W28,2026-W28,1,68,68,0,0,false,true,ai-desktop|anthropic-|anthropic-claude-science|claude-3-7-sonnet|claude-4-6-opus|claude-desktop-extentions|claude-fable-5|claude-for-science
558,mocasus/Auto-FreeCF,https://github.com/mocasus/Auto-FreeCF,Python,NOASSERTION,2026-W28,2026-W28,1,68,68,0,22,false,true,
559,PieroSierra/SecondBrain,https://github.com/PieroSierra/SecondBrain,JavaScript,,2026-W26,2026-W26,1,68,68,0,4,false,true,
560,c4pt0r/pie,https://github.com/c4pt0r/pie,Rust,MIT,2026-W22,2026-W22,1,67,67,0,4,false,true,
561,kellyvv/OpenReshot,https://github.com/kellyvv/OpenReshot,Swift,NOASSERTION,2026-W25,2026-W25,1,67,67,0,3,false,true,3d-gaussian-splatting|coreml|generative-ai|ios|openreshoot|photo-editing|swiftui
562,next-1688/1688-cowboy,https://github.com/next-1688/1688-cowboy,Python,,2026-W22,2026-W22,1,67,67,0,0,false,true,
563,joeseesun/qiaomu-youtube-ai-podcast,https://github.com/joeseesun/qiaomu-youtube-ai-podcast,JavaScript,MIT,2026-W28,2026-W28,1,66,66,0,10,false,true,ai-learning|ai-podcasts|chinese|markdown|podcast-index|static-site
564,KyrieCheungYep/ky-markdown-rebuilder,https://github.com/KyrieCheungYep/ky-markdown-rebuilder,Python,,2026-W28,2026-W28,1,66,66,0,8,false,true,
565,MingfengHong/petpack,https://github.com/MingfengHong/petpack,Rust,MIT,2026-W29,2026-W29,1,66,66,0,0,false,true,
566,tonnode/mcp,https://github.com/tonnode/mcp,TypeScript,MIT,2026-W29,2026-W30,2,66,66,0,0,false,true,
567,zexuanw958-svg/travel-plan-viz,https://github.com/zexuanw958-svg/travel-plan-viz,JavaScript,MIT,2026-W25,2026-W25,1,66,66,0,4,false,true,agent-skill|claude-code|claude-skill|codex|html|itinerary|migo|mobile-first
568,grzegorz-raczek-unit8/claude-quota,https://github.com/grzegorz-raczek-unit8/claude-quota,Python,MIT,2026-W25,2026-W25,1,65,65,0,2,false,true,
569,jasonkneen/infinitty,https://github.com/jasonkneen/infinitty,Swift,MIT,2026-W30,2026-W30,1,65,65,0,8,false,true,ghostty|termina|tui
570,M1n-n9/paper-lifecycle,https://github.com/M1n-n9/paper-lifecycle,,,2026-W25,2026-W25,1,65,65,0,2,false,true,
571,mintdotgg/mint-threejs-skills,https://github.com/mintdotgg/mint-threejs-skills,TypeScript,MIT,2026-W29,2026-W29,1,65,65,0,10,false,true,
572,op7418/ai-desk-card,https://github.com/op7418/ai-desk-card,Python,NOASSERTION,2026-W22,2026-W22,1,65,65,0,5,false,true,ai-agent|ai-skill|ambient-display|claude-code|codex|dashboard|desk-card|e-ink
573,wassermanproductions/wassermans-filmmaker-suite,https://github.com/wassermanproductions/wassermans-filmmaker-suite,,,2026-W29,2026-W29,1,65,65,0,4,false,true,
574,YangSiYv/valo-ai-assistant-2026,https://github.com/YangSiYv/valo-ai-assistant-2026,C++,Apache-2.0,2026-W26,2026-W26,1,65,65,0,0,false,true,aimassist|valorant|valorant-2025-optimizer|valorant-ai-helper|valorant-character-changer|valorant-skin-changer-github|valorant-utility|valorant-xray
575,eadmin2/jarvis_ai,https://github.com/eadmin2/jarvis_ai,Python,MIT,2026-W25,2026-W25,1,64,64,0,11,false,true,ai-agent|elevenlabs|hermes-agent|hud|jarvis|self-hosted|voice-assistant|whisper
576,fivetaku/llm-wiki,https://github.com/fivetaku/llm-wiki,Shell,MIT,2026-W26,2026-W26,1,64,64,0,11,false,true,
577,PabloTheThinker/hermespace,https://github.com/PabloTheThinker/hermespace,Python,MIT,2026-W30,2026-W30,1,64,64,0,3,false,true,agentskills|ai-agents|cognitive-architecture|hermes-agent|llm|open-source|python|workbench
578,Tartarus-AI/tartarusai-cli,https://github.com/Tartarus-AI/tartarusai-cli,,MIT,2026-W22,2026-W22,1,64,64,0,6,false,true,agent|ai|chatgpt-alternative|claude-alternative|cli|coding-agent|crypto-payments|developer-tools
579,vikingmute/review-forge,https://github.com/vikingmute/review-forge,,,2026-W23,2026-W23,1,64,64,0,8,false,true,
580,zvkzs/Gemma-4-free-desktop-app,https://github.com/zvkzs/Gemma-4-free-desktop-app,C#,MIT,2026-W28,2026-W28,1,64,64,0,0,false,true,gemma-2-2b|gemma-3|gemma-4|gemma-4-12b|gemma-4-12b-downloader|gemma-4-12b-installer|gemma-4-download|gemma-4-e2b-rotorqua
581,franklioxygen/agent-workflows,https://github.com/franklioxygen/agent-workflows,Python,MIT,2026-W23,2026-W23,1,63,63,0,6,false,true,agentic-ai|agentic-coding|agentic-engineering|agentic-workflows|ai-coding|coding-agents|context-engineering|developer-tools
582,joeancilin/MindMate-AI,https://github.com/joeancilin/MindMate-AI,JavaScript,,2026-W22,2026-W22,1,63,63,0,0,false,true,
583,Matt-Hulme/claude-power-tools,https://github.com/Matt-Hulme/claude-power-tools,,MIT,2026-W24,2026-W24,1,63,63,0,5,false,true,
584,renoir1220/esse,https://github.com/renoir1220/esse,TypeScript,MIT,2026-W30,2026-W30,1,63,63,0,4,false,true,
585,rzhub/GateMem,https://github.com/rzhub/GateMem,Python,MIT,2026-W26,2026-W26,1,63,63,0,1,false,true,agent-memory|ai-safety|benchmark|llm-agent|nlp
586,zengxiao-he/tessera,https://github.com/zengxiao-he/tessera,Python,NOASSERTION,2026-W24,2026-W24,1,63,63,0,0,false,true,cuda|flash-attention|fsdp|inference-engine|jax|knowledge-distillation|kv-cache|llm
587,zyz254009-crypto/script-to-shootable-storyboard,https://github.com/zyz254009-crypto/script-to-shootable-storyboard,JavaScript,MIT,2026-W30,2026-W30,1,63,63,0,0,false,true,ai-video|codex-skill|filmmaking|nodejs|preproduction|screenwriting|seedance|storyboard
588,anasu1/text-humanizer,https://github.com/anasu1/text-humanizer,Python,MIT,2026-W26,2026-W26,1,62,62,0,6,false,true,ai|ai-detector|ai-humanizer|ai-tools|gptzero-bypass|humanizer|humanizer-de|text-humanizer
589,catnip-ai-tech/MaineCoon,https://github.com/catnip-ai-tech/MaineCoon,,,2026-W26,2026-W26,1,62,62,0,1,false,true,audio-visual-generation|autoregressive-model|generative-ai|mainecoon|real-time|social-video|social-world-model|streaming-generation
590,cvv-number/minimax-m3-desktop-app-free-api,https://github.com/cvv-number/minimax-m3-desktop-app-free-api,C#,MIT,2026-W28,2026-W28,1,62,62,0,0,false,true,ai-api-free|ai-desktop|ai-free|ai-powered-applications|desktop-ai|mini-max-algorithm|minimax|minimax-agent
591,nextdev-labs/mcp,https://github.com/nextdev-labs/mcp,TypeScript,MIT,2026-W24,2026-W24,1,62,62,0,5,false,true,
592,programmerloverun/bilibili-to-doc,https://github.com/programmerloverun/bilibili-to-doc,,MIT,2026-W28,2026-W28,1,62,62,0,2,false,true,ai-tools|bilibili|bilibili-downloader|claude-code|claude-code-skill|markdown|subtitle|video-to-doc
593,Codesteward/codesteward,https://github.com/Codesteward/codesteward,TypeScript,Apache-2.0,2026-W30,2026-W30,1,61,61,0,9,false,true,ai|apache-2-0|cicd|code-intelligence|code-quality|code-review|developer-tools|devops
594,Felix-au/CursorX-Interactive-Cursor-Effects,https://github.com/Felix-au/CursorX-Interactive-Cursor-Effects,JavaScript,MIT,2026-W31,2026-W31,1,61,61,0,17,false,true,canvas|canvas-api|cursor|cursor-effects|custom-cursors|developer-tools|javascript|react
595,Lelemon-studio/compliance-cl,https://github.com/Lelemon-studio/compliance-cl,HTML,MIT,2026-W26,2026-W26,1,61,61,0,13,false,true,
596,XiNian-dada/Fuck_My_Shit_Mountain,https://github.com/XiNian-dada/Fuck_My_Shit_Mountain,HTML,MIT,2026-W24,2026-W24,1,61,61,0,7,false,true,
597,YonghaoZhao722/cc-sanitizer,https://github.com/YonghaoZhao722/cc-sanitizer,TypeScript,MIT,2026-W23,2026-W23,1,61,61,0,0,false,true,
598,zmustafa/AzureSupportAgent,https://github.com/zmustafa/AzureSupportAgent,Python,MIT,2026-W25,2026-W25,1,61,61,0,0,false,true,ai-agent|azure|azure-container-apps|azure-mcp|cloud-operations|devops|fastapi|llm
599,biao994/DocPaws,https://github.com/biao994/DocPaws,Python,MIT,2026-W23,2026-W23,1,60,60,0,1,false,true,fastapi|langchain|rag|vue
600,giovannibrees/travel-roamradar,https://github.com/giovannibrees/travel-roamradar,HTML,NOASSERTION,2026-W31,2026-W31,1,60,60,0,7,false,true,ai-agent|ai-agents|google-calendar|personal-software|roamradar|travel|travel-app|travel-planner
601,Liuxiangjian-ai/cet-skill,https://github.com/Liuxiangjian-ai/cet-skill,,MIT,2026-W24,2026-W24,1,60,60,0,5,false,true,
602,vitaliikapliuk/modelharness,https://github.com/vitaliikapliuk/modelharness,Python,MIT,2026-W25,2026-W25,1,60,60,0,0,false,true,agent-harness|benchmark|claude-code|claude-code-plugin|fable|haiku|llm-harness|opus
603,WhitzardAgent/AgentGuard,https://github.com/WhitzardAgent/AgentGuard,Python,MIT,2026-W23,2026-W23,1,60,60,0,4,false,true,
604,AstroVela/vane,https://github.com/AstroVela/vane,Python,Apache-2.0,2026-W30,2026-W30,1,59,59,0,12,false,true,
605,coleam00/helpline,https://github.com/coleam00/helpline,Python,,2026-W22,2026-W22,1,59,59,0,23,false,true,
606,kimsh-1/gn-voice,https://github.com/kimsh-1/gn-voice,Python,NOASSERTION,2026-W28,2026-W28,1,59,59,0,16,false,true,
607,NazzarenoGiannelli/tuiboard,https://github.com/NazzarenoGiannelli/tuiboard,TypeScript,MIT,2026-W23,2026-W23,1,59,59,0,5,false,true,bun|kanban|markdown|obsidian|opentui|productivity|solidjs|terminal
608,ninoxAI/nightwatch,https://github.com/ninoxAI/nightwatch,Python,Apache-2.0,2026-W24,2026-W24,1,59,59,0,3,false,true,aiops|devops|incident-management|kubernetes|observability|self-hosted|sre
