rank_by_latest_stars,repository,url,primary_language,latest_license,first_seen_week,last_seen_week,weeks_observed,latest_stars,first_observed_stars,observed_star_change,max_forks_observed,seen_in_trending,seen_in_new,top_topics
362,PlaceNL2026/okx-agent-trade-kit,https://github.com/PlaceNL2026/okx-agent-trade-kit,TypeScript,MIT,2026-W21,2026-W21,1,126,126,0,0,false,true,ai-trading|automated-trading|cex|claude|cli|crypto|cryptocurrency|cursor
363,LonghornSilicon/awesome-ai-accelerators,https://github.com/LonghornSilicon/awesome-ai-accelerators,,,2026-W29,2026-W29,1,125,125,0,13,false,true,
364,100yenadmin/fable-token-saving-skills-orchestrator,https://github.com/100yenadmin/fable-token-saving-skills-orchestrator,Python,MIT,2026-W28,2026-W28,1,124,124,0,0,false,true,
365,blitzdotdev/blitzos,https://github.com/blitzdotdev/blitzos,JavaScript,MIT,2026-W29,2026-W29,1,124,124,0,14,false,true,agentic|ai-agents|claude|claude-code|claude-md|cloud|codex|codex-skill
366,deerwork-ai/deer-workflow,https://github.com/deerwork-ai/deer-workflow,TypeScript,MIT,2026-W31,2026-W31,1,124,124,0,15,false,true,agent|ai|ai-agent|ai-agents|ai-coding|bun|dynamic-workflow|dynamic-workflows
367,nhevers/project-r0x,https://github.com/nhevers/project-r0x,TypeScript,MIT,2026-W29,2026-W29,1,124,124,0,1,false,true,ai-agents|claude-code|facilitator|mcp|payments|robinhood-chain|sdk|stablecoin
368,adamallcock/codex-chatgpt-control,https://github.com/adamallcock/codex-chatgpt-control,TypeScript,MIT,2026-W24,2026-W24,1,123,123,0,7,false,true,
369,chefkannofriend-source/lcb-baker-agent,https://github.com/chefkannofriend-source/lcb-baker-agent,Python,MIT,2026-W22,2026-W22,1,123,123,0,33,false,true,
370,Zsun79/ConferenceWatch,https://github.com/Zsun79/ConferenceWatch,,,2026-W28,2026-W28,1,123,123,0,0,false,true,agent-skills|ai-conference|ai-research|conference-deadlines
371,Christian-Katzmann/app-it,https://github.com/Christian-Katzmann/app-it,Shell,MIT,2026-W23,2026-W23,1,122,122,0,9,false,true,claude-code|claude-plugin|codex|codex-plugin|developer-tools|dock|macos|plugin
372,theswerd/brainless,https://github.com/theswerd/brainless,TypeScript,MIT,2026-W29,2026-W29,1,122,122,0,2,false,true,
